company,tweet,created_at,likes,retweets,replies,ratio
MCD,$MCD this name always makes me think it's setting up for something nice and then it usually disappoints. Kind of li… https://t.co/FwWm9ryvp4,2023-03-07 03:15:08+00:00,26,1,15,0.555555556
MCD,"$MCD

SIIIIIIIIIIIIIIIIIICK https://t.co/zywTnUYsXg https://t.co/ZhRSgPlmqg",2023-03-07 01:31:21+00:00,10,1,3,0.272727273
MCD,"There are two groups of companies:

1. DIVIDEND KINGS
50+ years of consecutive dividend growth, examples:

$GPC… https://t.co/7nX3OWw8OH",2023-03-06 17:17:05+00:00,10,2,6,0.5
MCD,"Morgan Stanley's Fresh Money🛒BUY LIST

$SPX $SPY $QQQ $MCD $VZ $XOM https://t.co/lpHAi2GsRD",2023-03-06 12:46:43+00:00,20,2,9,0.409090909
MCD,"Here are some Dividend Growth Stocks

$V 💳
$AAPL 📱
$MCD 🍔
$HD 👷🏻‍♂️
$WM ♻️
$JPM  🏦
$MSFT  💻
$COST  🛒

What are your… https://t.co/uQNFZlW9iG",2023-03-06 01:30:03+00:00,11,6,17,1
MCD,"Kevin O'Leary's Top 10 Dividend Stocks

$HD 
$MSFT
$SPGI
$MRK
$JNJ
$MMC
$AAPL
$TROW
$PFE
$MCD

How many of these po… https://t.co/8Jsc15KskU",2023-03-06 00:10:27+00:00,373,54,208,0.487119438
MCD,"Some of My Favorite Dividend Stocks

📦 $UPS UPS 
🥤 $PEP PepsiCo 
💊 $ABBV Abbvie
🛒 $COST Costco
🏠 $O Realty Income
🛠… https://t.co/vpuZIR676F",2023-03-05 17:38:41+00:00,235,38,133,0.487179487
MCD,"Buy stocks from companies you use everyday 

$V Visa 💳
$AAPL Apple📱
$HD Home Depot👷🏻‍♂️
$WM Waste Management♻️
$JPM… https://t.co/ST17WzbxoF",2023-03-04 20:17:37+00:00,401,76,375,0.786163522
MCD,"Latest TTG ""Out of the Box"" Scan post via @SubstackInc 

These are names breaking out of the range using… https://t.co/hgwVatYci9",2023-03-04 19:44:59+00:00,11,4,7,0.466666667
MCD,"$GS Goldman Sachs' Asset Management arm is reportedly interested in acquiring Subway

If they keep upgrading $NVDA,… https://t.co/bi1wmZlS6F",2023-03-04 18:10:12+00:00,9,1,7,0.7
MCD,"QSR Stocks, 10 Yr Total Returns via @ycharts 

$DPZ 586%
$WEN 379%
$CMG 371%
$SBUX 345%
$PZZA 268%
$NATH 267%
$MCD… https://t.co/ZSQVqwKHVM",2023-03-04 14:06:00+00:00,50,11,36,0.590163934
