company,tweet,created_at,likes,retweets,replies,ratio
DIS,"Today's Top Unusual Options Activity: 

- $BAC 3/10 30 call
- $KEY 4/21 15 put
- $USB 6/16 30 put
- $AX 4/21 32.5 p… https://t.co/VnKjNWII8l",2023-03-10 18:58:50+00:00,5,1,3,0.5
DIS,Today is first time in a long time where I added some longs... Went long $AMZN $DIS $BAC (again) $BARK (IN THE BUY… https://t.co/LQ9zCElG73,2023-03-10 18:40:22+00:00,8,2,4,0.4
DIS,$NFLX vs $DIS https://t.co/E3yQUGEpVN,2023-03-10 14:53:52+00:00,17,3,18,0.9
DIS,6/ Think about it this way at $175 bil ETH has same mkt cap as $DIS or for $175 bil you can buy Open AI + $LULU $CMG &amp; $TWTR.,2023-03-10 12:24:37+00:00,177,13,139,0.731578947
DIS,"What's next for $DIS? Hopefully some rational thinking, says Julie Biel

Hear what she thinks the streaming stocks… https://t.co/62vI7rijAZ",2023-03-09 22:52:26+00:00,26,3,12,0.413793103
DIS,Disney CEO Bob Iger states “We’re going to be ‘open-minded’ about ESPN’s future (Yahoo Finance) $DIS https://t.co/FfwvrTpYVv,2023-03-09 20:35:02+00:00,4,1,0,0
DIS,"Price action for $DIS today: 

 For full charting and live data: https://t.co/rXdeae3wRi https://t.co/ZgjhEZPWpA",2023-03-09 19:18:38+00:00,44,4,44,0.916666667
DIS,DISNEY $DIS: LINKING SPORTS BETTING WITH PROGRAMMING IS `INEVITABLE',2023-03-09 18:52:00+00:00,41,4,38,0.844444444
DIS,"IGER: “.. the environment is very, very tricky right now and before we make any big decisions about our level of in… https://t.co/BSB8HTzv0x",2023-03-09 18:30:54+00:00,19,8,10,0.37037037
DIS,"Latest $DIS update on Hulu: No decisions yet, but Iger is weighing options/studying the business. ""Before we make a… https://t.co/CLFLDKY8Zg",2023-03-09 18:24:13+00:00,26,6,31,0.96875
DIS,Bob Iger is confident that they will find the right successor at the right time (take two)  $DIS live blog: https://t.co/DBgCqcXoL5,2023-03-09 18:19:49+00:00,7,1,7,0.875
DIS,Bob Iger is confident they will identify the right successor at the right time. He says he needed to come back to s… https://t.co/xpFa774alg,2023-03-09 18:19:45+00:00,10,2,12,1
DIS,"Iger: Succession is at the top of the list between me and the board. We don’t have endless time to make that decision. 

$DIS",2023-03-09 18:19:12+00:00,5,2,5,0.714285714
DIS,Iger says they can increase capacity through new IP-based experiences.  $DIS live blog: https://t.co/DBgCqcXoL5,2023-03-09 18:17:03+00:00,10,2,3,0.25
DIS,"Iger says they will continue to mine IP for its parks. He cites the AVATAR experience coming to Disneyland. 

$DIS",2023-03-09 18:16:28+00:00,18,4,7,0.318181818
DIS,Bob Iger says there is more opportunity to grow the parks in California then people are aware.  $DIS live blog: https://t.co/DBgCqcXoL5,2023-03-09 18:15:58+00:00,13,4,0,0
DIS,"Iger: The more attractions we have the more things people have to do. 

$DIS",2023-03-09 18:15:54+00:00,28,3,26,0.838709677
DIS,Iger notes that the company was too aggressive with some of its pricing and believes it can grow the business while… https://t.co/gbD0vKe9wO,2023-03-09 18:15:48+00:00,9,6,5,0.333333333
